conv size 901591
ready, duration = 6.4
saved t0000.png {"ct":0,"rs":4}
saved t0020.png {"ct":0.2,"rs":4}
saved t0040.png {"ct":0.4,"rs":4}
saved t0060.png {"ct":0.6,"rs":4}
saved t0080.png {"ct":0.8,"rs":4}
saved t0100.png {"ct":1,"rs":4}
saved t0120.png {"ct":1.2,"rs":4}
saved t0140.png {"ct":1.4,"rs":4}
saved t0160.png {"ct":1.6,"rs":4}
saved t0180.png {"ct":1.8,"rs":4}
saved t0200.png {"ct":2,"rs":4}
saved t0220.png {"ct":2.2,"rs":4}
saved t0240.png {"ct":2.4,"rs":4}
saved t0260.png {"ct":2.6,"rs":4}
saved t0280.png {"ct":2.8,"rs":4}
saved t0300.png {"ct":3,"rs":4}
saved t0320.png {"ct":3.2,"rs":4}
saved t0340.png {"ct":3.4,"rs":4}
saved t0360.png {"ct":3.6,"rs":4}
saved t0380.png {"ct":3.8,"rs":4}
saved t0400.png {"ct":4,"rs":4}
saved t0420.png {"ct":4.2,"rs":4}
saved t0440.png {"ct":4.4,"rs":4}
saved t0460.png {"ct":4.6,"rs":4}
saved t0480.png {"ct":4.8,"rs":4}
saved t0500.png {"ct":5,"rs":4}
saved t0520.png {"ct":5.2,"rs":4}
saved t0540.png {"ct":5.4,"rs":4}
saved t0560.png {"ct":5.6,"rs":4}
saved t0580.png {"ct":5.8,"rs":4}
saved t0600.png {"ct":6,"rs":4}
saved t0620.png {"ct":6.2,"rs":4}
saved t0640.png {"ct":6.4,"rs":4}
DONE
