### 最近 80 行 pos_print_jobs（無 store 過濾）
8291f843 | 訂單29                 | kitchen  | printer                      | printed  | 2026-09-22 19:33:58
8291f843 | 訂單28                 | kitchen  | printer                      | printed  | 2026-09-22 19:28:51
8291f843 | 訂單26                 | receipt  | 小票機 · 通用 80mm 熱敏打印機          | printed  | 2026-09-22 19:16:36
8291f843 | 訂單27                 | kitchen  | printer                      | printed  | 2026-09-22 19:15:19
8291f843 | 訂單27                 | kitchen  | printer                      | printed  | 2026-09-22 19:03:47
8291f843 | 訂單26                 | kitchen  | printer                      | printed  | 2026-09-22 18:47:20
8291f843 | 訂單25                 | kitchen  | printer                      | printed  | 2026-09-22 18:40:15
8291f843 | 訂單24                 | kitchen  | printer                      | printed  | 2026-09-22 18:31:51
8291f843 | 訂單23                 | kitchen  | printer                      | printed  | 2026-09-22 18:21:56
8291f843 | 訂單22                 | kitchen  | printer                      | printed  | 2026-09-22 18:17:50
8291f843 | 訂單21                 | kitchen  | printer                      | printed  | 2026-09-22 18:10:19
8291f843 | 005                  | kitchen  | printer                      | printed  | 2026-09-22 18:07:39
8291f843 | 005                  | kitchen  | printer                      | printed  | 2026-09-22 18:04:30
8291f843 | 訂單20                 | kitchen  | printer                      | printed  | 2026-09-22 17:46:25
8291f843 | 訂單19                 | kitchen  | printer                      | printed  | 2026-09-22 17:33:11
8291f843 | 訂單15                 | receipt  | 小票機 · 通用 80mm 熱敏打印機          | printed  | 2026-09-22 14:01:00
8291f843 | 訂單17                 | kitchen  | printer                      | printed  | 2026-09-22 13:50:04
8291f843 | 訂單16                 | kitchen  | printer                      | printed  | 2026-09-22 13:48:06
8291f843 | 訂單15                 | kitchen  | printer                      | printed  | 2026-09-22 13:43:36
8291f843 | 004                  | kitchen  | printer                      | printed  | 2026-09-22 13:36:08
8291f843 | 訂單13                 | kitchen  | printer                      | printed  | 2026-09-22 13:15:41
8291f843 | 訂單12                 | kitchen  | printer                      | printed  | 2026-09-22 13:14:08
8291f843 | 訂單10                 | kitchen  | printer                      | printed  | 2026-09-22 12:54:06
8291f843 | 訂單09                 | kitchen  | printer                      | printed  | 2026-09-22 12:42:10
8291f843 | 訂單08                 | kitchen  | printer                      | printed  | 2026-09-22 12:39:45
8291f843 | 訂單07                 | receipt  | 小票機 · 通用 80mm 熱敏打印機          | printed  | 2026-09-22 12:37:20
8291f843 | 訂單07                 | kitchen  | printer                      | printed  | 2026-09-22 12:37:01
8291f843 | 訂單07                 | kitchen  | printer                      | printed  | 2026-09-22 12:36:57
8291f843 | 訂單07                 | kitchen  | printer                      | printed  | 2026-09-22 12:36:12
8291f843 | 訂單06                 | kitchen  | printer                      | printed  | 2026-09-22 12:27:51
8291f843 | 訂單05                 | kitchen  | printer                      | printed  | 2026-09-22 12:15:44
8291f843 | 訂單04                 | kitchen  | printer                      | printed  | 2026-09-22 11:54:35
8291f843 | 003                  | kitchen  | printer                      | printed  | 2026-09-22 11:52:34
8291f843 | 訂單03                 | kitchen  | printer                      | printed  | 2026-09-22 11:37:46
8291f843 | 002                  | kitchen  | printer                      | printed  | 2026-09-22 11:37:26
8291f843 | 訂單02                 | kitchen  | printer                      | printed  | 2026-09-22 10:15:43
8291f843 | 訂單01                 | kitchen  | printer                      | printed  | 2026-09-22 09:22:27
8291f843 | 001                  | kitchen  | printer                      | printed  | 2026-09-22 09:20:56
8291f843 | 交班單 2026-09-21-01    | receipt  | 小票機 · 通用 80mm 熱敏打印機          | printed  | 2026-09-21 21:37:18
8291f843 | 訂單17                 | receipt  | 小票機 · 通用 80mm 熱敏打印機          | printed  | 2026-09-21 21:17:27
8291f843 | 訂單23                 | kitchen  | printer                      | printed  | 2026-09-21 20:54:23
8291f843 | 訂單22                 | kitchen  | printer                      | printed  | 2026-09-21 20:53:12
8291f843 | 訂單21                 | kitchen  | printer                      | printed  | 2026-09-21 20:52:29
8291f843 | 訂單20                 | kitchen  | printer                      | printed  | 2026-09-21 20:50:05
8291f843 | 訂單21                 | kitchen  | printer                      | printed  | 2026-09-21 20:49:09
8291f843 | 訂單19                 | kitchen  | printer                      | printed  | 2026-09-21 20:16:50
8291f843 | 訂單19                 | kitchen  | printer                      | printed  | 2026-09-21 20:15:48
8291f843 | 訂單18                 | kitchen  | printer                      | printed  | 2026-09-21 19:52:33
8291f843 | 訂單19                 | kitchen  | printer                      | printed  | 2026-09-21 19:52:06
8291f843 | 訂單18                 | kitchen  | printer                      | printed  | 2026-09-21 19:49:50
count=50 {"8291f843-9def-4956-9d0b-1cfef2598306":50}
最早: 2026-09-21 19:49:50  最新: 2026-09-22 19:33:58
