bundle chunks = 21  key = eyJhbGciOiJIUzI1NiIsInR5cCI6Ik…

===== pos_print_jobs（最近 24h，按 created_at desc）=====
status 200
筆數 = 58
2026-09-25 09:30:52 | print-03e343b5 | oid=ledger-c5a19d31-1dc5-4cf3-a013-e502390901cb no=002 | normal/kitchen/printer | st=printed att=0 | once=ledger-c5a19d31-1dc5-4cf3-a013-e502390901cb|kitchen:normal:0:1xos25y|printer-861f2f6e | claim=2026-09-25 09:30:52 done=2026-09-25 09:30:52 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-25 09:27:29 | print-a973f43f | oid=ledger-b2aa7a13-5c68-415c-87ff-f476e564c202 no=001 | normal/kitchen/printer | st=printed att=0 | once=ledger-b2aa7a13-5c68-415c-87ff-f476e564c202|kitchen:normal:0:1xos25y|printer-861f2f6e | claim=2026-09-25 09:27:30 done=2026-09-25 09:27:30 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 21:16:19 | print-04e1ec78 | oid=order-e4205b7c no=訂單27 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=order-e4205b7c|receipt:0|printer-22a790b1 | claim=2026-09-24 21:16:20 done=2026-09-24 21:16:21 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 21:13:57 | print-abf1e49f | oid=ledger-bf19ba82-c5c5-4ecb-9f5c-4fb0b2ddc06b no=008 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=ledger-bf19ba82-c5c5-4ecb-9f5c-4fb0b2ddc06b|receipt:0|printer-22a790b1 | claim=2026-09-24 21:13:58 done=2026-09-24 21:13:58 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:51:35 | print-d4281351 | oid=order-e4205b7c no=訂單27 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 20:51:36 done=2026-09-24 20:51:36 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:50:41 | print-5be269f8 | oid=order-e4205b7c no=訂單27 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:z5sbte | claim=2026-09-24 20:50:42 done=2026-09-24 20:50:42 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:49:57 | print-2afe67ba | oid=ledger-bf19ba82-c5c5-4ecb-9f5c-4fb0b2ddc06b no=008 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1mdd58e | claim=2026-09-24 20:49:58 done=2026-09-24 20:49:58 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:47:20 | print-a3fac436 | oid=ledger-bf19ba82-c5c5-4ecb-9f5c-4fb0b2ddc06b no=008 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 20:47:21 done=2026-09-24 20:47:21 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:41:20 | print-117e1406 | oid=order-e5f2bc45 no=訂單23 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 20:41:21 done=2026-09-24 20:41:21 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:39:54 | print-b18f18d5 | oid=order-9e146258 no=訂單26 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1fi2el5 | claim=2026-09-24 20:39:55 done=2026-09-24 20:39:55 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:37:55 | print-b0abf4a5 | oid=order-809ae217 no=訂單25 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:cm8ij5 | claim=2026-09-24 20:37:56 done=2026-09-24 20:37:56 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:34:03 | print-407d28c4 | oid=order-d6600a3b no=訂單24 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:16udjvv | claim=2026-09-24 20:34:04 done=2026-09-24 20:34:05 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:30:08 | print-4d9b04f9 | oid=order-e5f2bc45 no=訂單23 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:7kcyhm | claim=2026-09-24 20:30:09 done=2026-09-24 20:30:10 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 20:04:17 | print-16a127f4 | oid=order-7d0c37c5 no=訂單20 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 20:04:17 done=2026-09-24 20:04:18 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:46:07 | print-3a5c38d6 | oid=order-eee918e7 no=訂單22 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:575gcb | claim=2026-09-24 19:46:08 done=2026-09-24 19:46:08 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:39:26 | print-1a487d00 | oid=order-6b8554ca no=訂單21 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:3uoc1f | claim=2026-09-24 19:39:27 done=2026-09-24 19:39:28 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:10:49 | print-5610f3ad | oid=order-7d0c37c5 no=訂單20 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 19:10:50 done=2026-09-24 19:10:51 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:09:41 | print-5ffccc76 | oid=order-7d0c37c5 no=訂單20 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:a6v8fc | claim=2026-09-24 19:09:42 done=2026-09-24 19:09:42 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:00:36 | print-c7d241ce | oid=ledger-4b0efbd2-d3e5-4e1b-8045-721d4aedaf7c no=007 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 19:00:37 done=2026-09-24 19:00:38 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 19:00:22 | print-f956aeed | oid=order-dcf1eec3 no=訂單09 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 19:00:23 done=2026-09-24 19:00:23 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 18:55:46 | print-5299968d | oid=order-2dc96a10 no=訂單19 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:gi1cg4 | claim=2026-09-24 18:55:47 done=2026-09-24 18:55:48 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 18:32:17 | print-d2b617a3 | oid=ledger-4b0efbd2-d3e5-4e1b-8045-721d4aedaf7c no=007 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:xl295z | claim=2026-09-24 18:32:18 done=2026-09-24 18:32:19 | err=- | items= | storeName=表嫂美食 | orderTime=-
